Titulo,URL,Data,Noticia,Classe,QNT DE ERROS GRAMATICAIS,QNT CARACTERES,QNT PALAVRAS,QNTD LETRAS MAIUSCULAS,QNTD PONTUACAO,QNTD ADJETIVOS,QNTD SUBSTANTIVOS,QNTD VERBOS,QNTD ADVERBIOS,QNTD SUBSTANTIVOS PROPRIOS,QNTD PRONOMES,SENTIMENTO,PROB NEG,PROB NEU,PROB POS
"Ao contrário do que apontam mensagens, Flávio Bolsonaro não defendeu aumentar a idade de aposentadoria de 75 anos",boatos.org,31/08/2026,"polêmica candidato candidato defende aposentadoria só aos 75 anos! enquanto o povo luta pra sobreviver, tem político querendo dificultar ainda mais a vida do trabalhador candidato candidato e a proposta de aposentadoria aos 75 anos entenda a polêmica sobre candidato candidato defendendo aposentadoria apenas aos 75 anos. o que isso significa para os trabalhadores? aposentadoria aos 75? declaração gera revolta polémica candidato candidato defende aposentadoria só aos 75 anos! enquanto o povo",0,2.78,482,72,17.01,1.04,0.0,22.22,12.5,6.94,20.83,4.17,3,"0,71","0,21","0,07"
É falso que Flávio Bolsonaro chamou Michelle Bolsonaro para ser candidata a vice nas eleições 2026,boatos.org,28/08/2026,bomba candidato candidato acaba de chamar michelle candidato para ser sua vice após a polícia federal mandar investigar alfredo gaspar a reviravolta nos bastidores do partido liberal voltou a sacudir o cenário político nacional com a possibilidade de uma nova composição na chapa presidencial diante da forte reação negativa e do desgaste gerado pelo cancelamento do deputado alfredo gaspar após revelações e polêmicas recentes o senador candidato candidato passou a defender publicamente o nome da ex primeira dama michelle candidato para assumir a vaga de vice-presidente articulação busca estancar a crise de imagem e reaproximar a candidatura do eleitorado feminino e evangélico setores considerados fundamentais para alavancar os índices de intenção de voto na disputa eleitoral a substituição do nome de gaspar por michelle e é vista por estrategistas como uma jogada de mestre para pacificar as aulas internas da legenda e demonstrar unidade total do clã patriota na corrida rumo ao palácio do planalto em 2026 a pressão sobre a cúpula partidária cresceu bastante nas últimas horas você acredita que a entrada de michele como vice fortalece a chapa da oposição deixe seu comentário e espalhe o vídeo,0,2.65,1200,189,1.33,0.08,12.17,25.4,12.17,2.12,7.41,0.53,2,"0,28","0,59","0,13"
Vídeo que aponta que Javier Milei fez apelo ao povo brasileiro em português e com a motosserra na mão é falso,boatos.org,27/08/2026,"o presidente da argentina, javi milei, faz um apelo emocionado ao povo brasileiro e afirma que candidato é a salvação do país! povo brasileiro, vou falar em português para que todos entendam e que fique bem claro quem é o comunista candidato. o que vou dizer são fatos comprovados e divulgados tanto na mídia brasileira quanto na mídia internacional. pois bem, candidato é um ladrão, um corrupto condenado, um ex-presidiário que só saiu da prisão devido a uma manobra criminosa dos tiranos golpistas do stf, os guardiões do crime organizado, principalmente do pcc (primeiro comando da capital) e do cv (comando vermelho). candidato sempre foi muito amigo e sócio do narcoterrorista maduro, que se encontra preso em nova york, onde candidato já deveria estar também. mas a hora do mafioso petista está chegando. continuando, candidato é um criminoso sádico que mantém de propósito o povo brasileiro na pobreza e na dependência do estado que se vende ao bolsa família, bolsa gás e outros benefícios. não se trata de ajuda humanitária, mas de compra de votos. ele usa o sofrimento dos pobres para vencer eleições. isto é cruel. povo brasileiro, acorda, pelo amor de deus. o inimigo da pátria, candidato, está destruindo a economia brasileira. destruiu a constituição, destruiu a democracia, está destruindo a passos largos todas as instituições e avança com o seu projeto de poder que é o de implementar a ditadura chinesa no brasil. para isto, ele vem recebendo o apoio dos ministros lixo do stf. o resultado desse golpe que está destruindo os três poderes levará o povo brasileiro à mais completa miséria. o método de destruição dos comunistas é usado o mundo afora. estamos falando de uma raça de víboras endemoníadas. são vampiros que sugam o sangue dos povos. esses monstros nasceram para mentir, enganar, roubar, matar e arruinar as nações. todos eles protegem criminosos, são adeptos de toda sorte de podridão. praticam putarias, orgias, surubas, usam drogas pesadas, são a favor do aborto em qualquer fase, querem a destruição da família tradicional e odeiam deus e as religiões. candidato é o líder no brasil e na américa latina de toda essa podridão mencionada até agora, e isto pode ser comprovado facilmente. a realidade diabólica sobre candidato e os comunistas está registrada na história universal. basta dar um google ou pesquisar no chatgpt para descobrir as verdades sobre esses cânceres malignos do mundo. vocês também vão descobrir que o plano deles sempre é o de destruir a economia das nações que governam e que, invariavelmente, levam o povo à miséria. para finalizar, quero dizer que para o brasil sair do caos em que se encontra, candidato, o velho lixo comunista de nove dedos, precisa ser extirpado do poder. portanto, faço um apelo a todos os brasileiros, tanto em meu nome quanto em nome do presidente trump e de todos os presidentes de direita da américa do sul: em outubro, votem no meu amigo candidato candidato. ele é um homem íntegro, o candidato ideal para o brasil. somente candidato poderá colocar o brasil nos trilhos da prosperidade. candidato, estamos juntos. fora ladrão candidato! fora lixo, tiranos psicopatas do stf! viva a liberdade, carajo!",0,1.14,3121,526,5.99,1.57,6.08,21.67,12.93,4.94,10.27,5.51,3,"0,83","0,13","0,03"
Postagem que aponta que general Augusto Heleno morreu em agosto de 2026 é falsa,boatos.org,27/08/2026,"1935/2026 hoje se foi o general heleno. exemplo de militar que foi condenado de golpe sem levantar uma arma e conduzir uma tropa. luto eterno. condenado pelo sistema. homenagem ao general augusto heleno. um homem que dedicou grande parte de sua vida ao brasil, às forças armadas e à defesa dos valores em que acredita.",0,0.0,318,55,12.58,0.31,1.82,29.09,10.91,1.82,10.91,7.27,1,"0,04","0,1","0,86"
Vídeo de filha de Michel Temer declarando voto em Lula não é de 2026,boatos.org,26/08/2026,"filha de candidato faz o l! a filha do ex-presidente candidato surpreende ao gravar vídeo declamando apoio ao presidente candidato. ela afirma que não defende um homem, e sim um modelo de país que está em risco caso candidato seja eleito. muita gente estranhou a declaração da filha de candidato dizendo que pretende votar no 13, já que, no passado, candidato chamou o pai dela de golpista. mas, pelo que ela mesma demonstra, a decisão não parece ser movida por mágoa, vingança ou orgulho. ela deixa claro que está olhando para aquilo que considera melhor para o país. na visão dela, os resultados e os frutos do governo atual pesam mais do que ofensas do passado. isso mostra que, para algumas pessoas, a política não deve ser guiada por birras ou ressentimentos, mas pelaquilo que acreditam ser o melhor caminho para o brasil. independentemente de concordar ou não com essa posição, fica uma reflexão: será que o interesse do país não deveria estar acima das disputas pessoais?",0,1.18,975,170,4.0,1.64,2.35,21.76,15.88,6.47,7.06,7.06,2,"0,3","0,59","0,1"
Pablo Marçal não disse que vai por Lula na cadeia e não está elegível para 2026,boatos.org,25/08/2026,"pablo marçal elegível o candidato tá para morrer já, com 80 anos de idade. eu vou te pôr na cadeia ano que vem. você vai pra cadeia, eu vou soltar no seu peito que você não vai conseguir mais nem olhar na minha cara, seu desonesto. me espera. se ano que vem você não tiver na cadeia, você muda meu nome. não quero que uma serpente seja levantada aqui para governar esse país. não tem chance. sempre com o rabo preso desculpa a expressão com alguém. não respeito militante. todos os militantes eu vou bater de frente. e faz o m aí. o candidato fez um rombo de mais de 1 trilhão em menos de 2 anos. rombo fiscal que eu tô falando, fora o que ele fez no passado que deu aquelas condenações para ele.",0,3.68,686,136,3.79,0.73,1.47,17.65,15.44,11.03,5.88,13.97,3,"0,91","0,07","0,03"
É falso que Brasil teve recorde de falência de empresas em 2025 por causa do governo Lula,boatos.org,22/08/2026,"efeito candidato: insolvência de 21,2% em 12 meses médias empresas foram as que mais entraram em recuperação judicial falências de empresas batem recorde no governo candidato, o fechamento de empresas dispara 5.280 6x 8,3 mil empresas podem falir apenas em 2026 pelas projeções os números de falências de empresas no brasil atingem níveis históricos, com um crescimento expressivo registrado no atual governo. os dados mostram um salto de 833 registros no período anterior para 5.280, o que representa um aumento de 276% ou seja, mais de 6 vezes maior. os números em destaque crescimento explosivo: o número de falências saltou de 833 para 5.280 um aumento de 276%. ? projeção alarmante: estimativas apontam que 8,3 mil empresas podem falir ao longo de 2026. comparativo histórico: nos governos anteriores, os números apresentavam queda ou estabilidade; a curva de fechamento de empresas disparou a partir de 2023. impacto econômico: o fechamento de empresas significa perda de empregos, redução de arrecadação e retração da atividade econômica com efeitos diretos sobre a população. o debate o tema é controverso: críticos atribuem o resultado à política econômica, carga tributária, juros e insegurança jurídica; já defensores apontam fatores externos, inflação e efeitos pós-pandêmicos como causas principais. independentemente das causas, os números revelam um cenário que exige atenção urgente.",0,1.42,1389,212,10.22,1.66,9.43,29.72,9.43,2.36,7.08,2.36,2,"0,14","0,82","0,05"
"Ao contrário do que apontam mensagens, pizzaria Dominos não fechou 29 lojas no Brasil por culpa do governo Lula",boatos.org,21/08/2026,a rede de pizzarias dominos fechou 29 lojas no brasil em razão de políticas do governo candidato.,0,5.88,92,17,4.35,0.0,0.0,35.29,5.88,0.0,17.65,0.0,2,"0,2","0,79","0,02"
É falso que Lula ficou inelegível por 8 anos após TSE o punir propaganda eleitoral antecipada,boatos.org,19/08/2026,candidato se tornará inelegível por 8 anos a casa caiu candidato acaba de ser proibido de participar das eleições de 2026 após nova investigação do tre por propaganda eleitoral antecipada a justiça eleitoral de são paulo impôs uma dura derrota ao palácio do planalto ao condenar o presidente candidato por propaganda eleitoral antecipada o tribunal regional eleitoral acolheu a representação apresentada após o petista proferir um discurso com pedido explícito de votos para as ex-ministra simone tebet e marina silva antes do período permitido pela legislação de 2026,0,2.27,553,88,8.14,0.18,4.55,21.59,14.77,1.14,19.32,0.0,3,"0,66","0,27","0,07"
Vídeo em que Brizola alerta que Jair Bolsonaro era o chefe da milícia é fake criado por IA,boatos.org,19/08/2026,"brizola já alertava na época desde 1989 o rio de janeiro falta de aviso não foi, caiu quem quis, na lábia do eu já falei isso e sei que a maioria do povo não entendeu, principalmente com os jovens, sobre o vereador candidato do rio de janeiro. quase ninguém conhece esse político que manda na milícia e no esquadrão da morte. ele é o único bandido corrupto que seus eleitores consideram honesto. ele ensina os filhos como se fossem soldados revoltados, apenas com o objetivo de enganar as pessoas. eu penso: qual é o futuro de um vereador na política com esse cidadão?",0,0.97,568,103,2.11,1.23,2.91,20.39,12.62,6.8,7.77,7.77,3,"0,75","0,21","0,04"
