Titulo;URL;Data;Noticia;Classe;QNT DE ERROS GRAMATICAIS;QNT CARACTERES;QNT PALAVRAS;QNTD LETRAS MAIUSCULAS;QNTD PONTUACAO;QNTD ADJETIVOS;QNTD SUBSTANTIVOS;QNTD VERBOS;QNTD ADVERBIOS;QNTD SUBSTANTIVOS PROPRIOS;QNTD PRONOMES;SENTIMENTO;PROB NEG;PROB NEU;PROB POS
Ao contrário do que apontam mensagens, Flávio Bolsonaro não defendeu aumentar a idade de aposentadoria de 75 anos;boatos.org;31/08/2026;POLÊMICA Flávio Bolsonaro DEFENDE aposentadoria só aos 75 anos! Enquanto o povo luta pra sobreviver, tem político querendo dificultar ainda mais a vida do trabalhador Flávio Bolsonaro e a Proposta de Aposentadoria aos 75 Anos Entenda a polêmica sobre Flávio Bolsonaro defendendo aposentadoria apenas aos 75 anos. O que isso significa para os trabalhadores? APOSENTADORIA AOS 75? DECLARAÇÃO GERA REVOLTA POLÉMICA Flávio Bolsonaro DEFENDE aposentadoria só aos 75 anos! Enquanto o povo;0;2;482;72;82;5;0;16;9;5;15;3;3;0,71;0,21;0,07
É falso que Flávio Bolsonaro chamou Michelle Bolsonaro para ser candidata a vice nas eleições 2026;boatos.org;28/08/2026;bomba Flávio bolsonaro acaba de chamar Michelle bolsonaro para ser sua vice após a polícia federal mandar investigar Alfredo Gaspar a reviravolta nos bastidores do partido Liberal voltou a sacudir o cenário político nacional com a possibilidade de uma nova composição na chapa presidencial diante da forte reação negativa e do desgaste gerado pelo cancelamento do deputado Alfredo Gaspar após revelações e polêmicas recentes o Senador Flávio bolsonaro passou a defender publicamente o nome da ex primeira dama Michelle bolsonaro para assumir a vaga de vice-presidente articulação busca estancar a crise de imagem e reaproximar a candidatura do eleitorado feminino e evangélico setores considerados fundamentais para alavancar os índices de intenção de voto na disputa eleitoral a substituição do nome de Gaspar por Michelle e é Vista por estrategistas como uma jogada de mestre para pacificar as aulas internas da legenda e demonstrar unidade total do clã patriota na corrida rumo ao Palácio do Planalto em 2026 a pressão sobre a cúpula partidária cresceu bastante nas últimas horas você acredita que a entrada de Michele como vice fortalece a chapa da oposição deixe seu comentário e espalhe o vídeo;0;5;1200;189;16;1;23;48;23;4;14;1;2;0,28;0,59;0,13
Vídeo que aponta que Javier Milei fez apelo ao povo brasileiro em português e com a motosserra na mão é falso;boatos.org;27/08/2026;O PRESIDENTE DA ARGENTINA, JAVI MILEI, FAZ UM APELO EMOCIONADO AO POVO BRASILEIRO E AFIRMA QUE FLÁVIO É A SALVAÇÃO DO PAÍS! Povo brasileiro, vou falar em português para que todos entendam e que fique bem claro quem é o comunista Lula. O que vou dizer são fatos comprovados e divulgados tanto na mídia brasileira quanto na mídia internacional. Pois bem, Lula é um ladrão, um corrupto condenado, um ex-presidiário que só saiu da prisão devido a uma manobra criminosa dos tiranos golpistas do STF, os guardiões do crime organizado, principalmente do PCC (Primeiro Comando da Capital) e do CV (Comando Vermelho). Lula sempre foi muito amigo e sócio do narcoterrorista Maduro, que se encontra preso em Nova York, onde Lula já deveria estar também. Mas a hora do mafioso petista está chegando. Continuando, Lula é um criminoso sádico que mantém de propósito o povo brasileiro na pobreza e na dependência do Estado que se vende ao Bolsa Família, Bolsa Gás e outros benefícios. Não se trata de ajuda humanitária, mas de compra de votos. Ele usa o sofrimento dos pobres para vencer eleições. Isto é cruel. Povo brasileiro, acorda, pelo amor de Deus. O inimigo da pátria, Lula, está destruindo a economia brasileira. Destruiu a Constituição, destruiu a democracia, está destruindo a passos largos todas as instituições e avança com o seu projeto de poder que é o de implementar a ditadura chinesa no Brasil. Para isto, ele vem recebendo o apoio dos ministros lixo do STF. O resultado desse golpe que está destruindo os três poderes levará o povo brasileiro à mais completa miséria. O método de destruição dos comunistas é usado o mundo afora. Estamos falando de uma raça de víboras endemoníadas. São vampiros que sugam o sangue dos povos. Esses monstros nasceram para mentir, enganar, roubar, matar e arruinar as nações. Todos eles protegem criminosos, são adeptos de toda sorte de podridão. Praticam putarias, orgias, surubas, usam drogas pesadas, são a favor do aborto em qualquer fase, querem a destruição da família tradicional e odeiam Deus e as religiões. Lula é o líder no Brasil e na América Latina de toda essa podridão mencionada até agora, e isto pode ser comprovado facilmente. A realidade diabólica sobre Lula e os comunistas está registrada na história universal. Basta dar um Google ou pesquisar no ChatGPT para descobrir as verdades sobre esses cânceres malignos do mundo. Vocês também vão descobrir que o plano deles sempre é o de destruir a economia das nações que governam e que, invariavelmente, levam o povo à miséria. Para finalizar, quero dizer que para o Brasil sair do caos em que se encontra, Lula, o velho lixo comunista de nove dedos, precisa ser extirpado do poder. Portanto, faço um apelo a todos os brasileiros, tanto em meu nome quanto em nome do presidente Trump e de todos os presidentes de direita da América do Sul: em outubro, votem no meu amigo Flávio Bolsonaro. Ele é um homem íntegro, o candidato ideal para o Brasil. Somente Flávio poderá colocar o Brasil nos trilhos da prosperidade. Flávio, estamos juntos. Fora ladrão Lula! Fora lixo, tiranos psicopatas do STF! Viva a liberdade, carajo!;0;6;3121;526;187;49;32;114;68;26;54;29;3;0,83;0,13;0,03
Postagem que aponta que general Augusto Heleno morreu em agosto de 2026 é falsa;boatos.org;27/08/2026;1935/2026 Hoje se foi o general Heleno. Exemplo de militar que foi condenado de golpe sem levantar uma arma e conduzir uma tropa. Luto eterno. Condenado pelo sistema. HOMENAGEM AO GENERAL AUGUSTO HELENO. Um homem que dedicou grande parte de sua vida ao Brasil, às Forças Armadas e à defesa dos valores em que acredita.;0;0;318;55;40;1;1;16;6;1;6;4;1;0,04;0,1;0,86
Vídeo de filha de Michel Temer declarando voto em Lula não é de 2026;boatos.org;26/08/2026;FILHA DE MICHEL TEMER FAZ O L! A filha do ex-presidente Michel Temer surpreende ao gravar vídeo declamando apoio ao presidente Lula. Ela afirma que não defende um homem, e sim um modelo de país que está em risco caso Flávio seja eleito. Muita gente estranhou a declaração da filha de Michel Temer dizendo que pretende votar no 13, já que, no passado, Lula chamou o pai dela de golpista. Mas, pelo que ela mesma demonstra, a decisão não parece ser movida por mágoa, vingança ou orgulho. Ela deixa claro que está olhando para aquilo que considera melhor para o país. Na visão dela, os resultados e os frutos do governo atual pesam mais do que ofensas do passado. Isso mostra que, para algumas pessoas, a política não deve ser guiada por birras ou ressentimentos, mas pelaquilo que acreditam ser o melhor caminho para o Brasil. Independentemente de concordar ou não com essa posição, fica uma reflexão: será que o interesse do país não deveria estar acima das disputas pessoais?;0;2;975;170;39;16;4;37;27;11;12;12;2;0,3;0,59;0,1
Pablo Marçal não disse que vai por Lula na cadeia e não está elegível para 2026;boatos.org;25/08/2026;Pablo Marçal ELEGÍVEL O Lula tá para morrer já, com 80 anos de idade. Eu vou te pôr na cadeia ano que vem. Você vai pra cadeia, eu vou soltar no seu peito que você não vai conseguir mais nem olhar na minha cara, seu desonesto. Me espera. Se ano que vem você não tiver na cadeia, você muda meu nome. Não quero que uma serpente seja levantada aqui para governar esse país. Não tem chance. Sempre com o rabo preso desculpa a expressão com alguém. Não respeito militante. Todos os militantes eu vou bater de frente. E faz o M aí. O Lula fez um rombo de mais de 1 trilhão em menos de 2 anos. Rombo fiscal que eu tô falando, fora o que ele fez no passado que deu aquelas condenações para ele.;0;5;686;136;26;5;2;24;21;15;8;19;3;0,91;0,07;0,03
É falso que Brasil teve recorde de falência de empresas em 2025 por causa do governo Lula;boatos.org;22/08/2026;"EFEITO LULA: INSOLVÊNCIA DE 21,2% EM 12 MESES Médias empresas foram as que mais entraram em recuperação judicial FALÊNCIAS DE EMPRESAS BATEM RECORDE NO GOVERNO LULA, O FECHAMENTO DE EMPRESAS DISPARA 5.280 6x 8,3 mil empresas podem falir apenas em 2026 pelas projeções Os números de falências de empresas no Brasil atingem níveis históricos, com um crescimento expressivo registrado no atual governo. Os dados mostram um salto de 833 registros no período anterior para 5.280, o que representa um aumento de 276% ou seja, mais de 6 vezes maior. OS NÚMEROS EM DESTAQUE Crescimento explosivo: O número de falências saltou de 833 para 5.280 um aumento de 276%. ? Projeção alarmante: Estimativas apontam que 8,3 mil empresas podem falir ao longo de 2026. Comparativo histórico: Nos governos anteriores, os números apresentavam queda ou estabilidade; a curva de fechamento de empresas disparou a partir de 2023. Impacto econômico: O fechamento de empresas significa perda de empregos, redução de arrecadação e retração da atividade econômica com efeitos diretos sobre a população. O DEBATE O tema é controverso: críticos atribuem o resultado à política econômica, carga tributária, juros e insegurança jurídica; já defensores apontam fatores externos, inflação e efeitos pós-pandêmicos como causas principais. Independentemente das causas, os números revelam um cenário que exige atenção urgente.";0;3;1389;212;142;23;20;63;20;5;15;5;2;0,14;0,82;0,05
Ao contrário do que apontam mensagens, pizzaria Dominos não fechou 29 lojas no Brasil por culpa do governo Lula;boatos.org;21/08/2026;A rede de pizzarias Dominos fechou 29 lojas no Brasil em razão de políticas do governo Lula.;0;1;92;17;4;0;0;6;1;0;3;0;2;0,2;0,79;0,02
É falso que Lula ficou inelegível por 8 anos após TSE o punir propaganda eleitoral antecipada;boatos.org;19/08/2026;LULA SE TORNARÁ INELEGÍVEL POR 8 ANOS a casa caiu Lula acaba de ser proibido de participar das eleições de 2026 após nova investigação do TRE por propaganda eleitoral antecipada a justiça eleitoral de São Paulo impôs uma dura derrota ao Palácio do Planalto ao condenar o presidente Lula por propaganda eleitoral antecipada o Tribunal Regional Eleitoral acolheu a representação apresentada após o petista proferir um discurso com pedido explícito de votos para as ex-ministra Simone tebet e Marina Silva antes do período permitido pela legislação de 2026;0;2;553;88;45;1;4;19;13;1;17;0;3;0,66;0,27;0,07
Vídeo em que Brizola alerta que Jair Bolsonaro era o chefe da milícia é fake criado por IA;boatos.org;19/08/2026;Brizola já alertava na época desde 1989 o Rio de Janeiro Falta de aviso não foi, caiu quem quis, na lábia do Eu já falei isso e sei que a maioria do povo não entendeu, principalmente com os jovens, sobre o vereador Bolsonaro do Rio de Janeiro. Quase ninguém conhece esse político que manda na milícia e no esquadrão da morte. Ele é o único bandido corrupto que seus eleitores consideram honesto. Ele ensina os filhos como se fossem soldados revoltados, apenas com o objetivo de enganar as pessoas. Eu penso: qual é o futuro de um vereador na política com esse cidadão?;0;1;568;103;12;7;3;21;13;7;8;8;3;0,75;0,21;0,04
